Digit,Grau,Universitat,Nota,Ciutat
1,"Administració d'Empreses i Gestió de la Innovació ""Tecnocampus"" (Mataró)",UPF,"7,688",Mataró
2,"Administració d'Empreses i Gestió de la Innovació ""Tecnocampus""  (Mataró)",UPF,"7,628",Mataró
3,"Administració d'Empreses i Gestió de la Innovació / Màrqueting i Comunitats
Digitals ""Tecnocampus""  (Mataró)",UPF,"7,546",Mataró
4,"Administració d'Empreses i Gestió de la Innovació / Turisme i Gestió del Lleure
""Tecnocampus""  (Mataró)",UPF,"5,000",Mataró
5,Administració i Direcció d'Empreses (Barcelona),UB,"9,348",Barcelona
6,Administració i Direcció d'Empreses (Barcelona),UPF,"10,966",Barcelona
7,"Administració i Direcció d'Empreses ""IGEMA"" (Barcelona)",URV,"5,000",Barcelona
8,Administració i Direcció d'Empreses (Cerdanyola del Vallès),UAB,"9,804",Cerdanyola del Vallès
9,Administració i Direcció d'Empreses (Cerdanyola del Vallès),UAB,"10,128",Cerdanyola del Vallès
10,Administració i Direcció d'Empreses (Girona),UdG,"9,218",Girona
11,Administració i Direcció d'Empreses (Igualada),UdL,"8,224",Igualada
12,Administració i Direcció d'Empreses (Lleida),UdL,"7,764",Lleida
13,Administració i Direcció d'Empreses  (Manresa),UVic-UCC,"5,716",Manresa
14,Administració i Direcció d'Empreses (Reus),URV,"8,413",Reus
15,Administració i Direcció d'Empreses (Tortosa),URV,"7,220",Tortosa
16,Administració i Direcció d'Empreses (Vic),UVic-UCC,"6,420",Vic
17,Administració i Direcció d'Empreses / Dret  (Barcelona),UB,"10,692",Barcelona
18,Administració i Direcció d'Empreses / Dret  (Cerdanyola del Vallès),UAB,"10,082",Cerdanyola del Vallès
19,Administració i Direcció d'Empreses / Dret  (Girona),UdG,"9,838",Girona
20,Administració i Direcció d'Empreses / Dret  (Lleida),UdL,"10,138",Lleida
21,Administració i Direcció d'Empreses / Dret  (Tarragona / Reus),URV,"9,386",Tarragona / Reus
22,Administració i Direcció d'Empreses / Economia  (Girona),UdG,"10,000",Girona
23,"Administració i Direcció d'Empreses / Enginyeria en Organització Industrial i
Logística  (Igualada)",UdL,"8,616",Igualada
24,"Administració i Direcció d'Empreses / Enginyeria en Tecnologies Industrials
 (Girona)",UdG,"10,198",Girona
25,"Administració i Direcció d'Empreses / Enginyeria Informàtica 
(Lleida)",UdL,"11,050",Lleida
26,"Administració i Direcció d'Empreses / Finances i Comptabilitat 
(Reus)",URV,"10,131",Reus
27,"Administració i Direcció d'Empreses / Màrqueting ""ESIC""  (Reus / Barcelona)",URV,"9,120",Reus / Barcelona
28,"Administració i Direcció d'Empreses / Màrqueting ""ESIC""  (Tortosa / Barcelona)",URV,"7,346",Tortosa / Barcelona
29,Administració i Direcció d'Empreses / Matemàtiques  (Barcelona),UB,"11,980",Barcelona
30,Administració i Direcció d'Empreses / Química  (Barcelona),UB,"10,916",Barcelona
